,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9393939393939394,0.7377049180327869,0.8571428571428571,0.903755868544601,0.8447472381898612,0.9010209626695427
recall,0.950920245398773,0.6617647058823529,0.9375,0.903755868544601,0.8500616504270418,0.903755868544601
f1-score,0.9451219512195121,0.6976744186046512,0.8955223880597015,0.903755868544601,0.8461062526279549,0.9018974952595955
support,326.0,68.0,32.0,0.903755868544601,426.0,426.0
