,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9472140762463344,0.8888888888888888,0.9032258064516129,0.9366197183098591,0.9131095905289454,0.9345996692657301
recall,0.99079754601227,0.7058823529411765,0.875,0.9366197183098591,0.8572266329844821,0.9366197183098591
f1-score,0.9685157421289355,0.7868852459016393,0.8888888888888888,0.9366197183098591,0.8814299589731546,0.9335417208915233
support,326.0,68.0,32.0,0.9366197183098591,426.0,426.0
