,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9483282674772037,0.7704918032786885,0.8333333333333334,0.9131455399061033,0.8507178013630753,0.9113031091248496
recall,0.9570552147239264,0.6911764705882353,0.9375,0.9131455399061033,0.8619105617707206,0.9131455399061033
f1-score,0.9526717557251908,0.7286821705426356,0.8823529411764706,0.9131455399061033,0.8545689558147657,0.9116353851665693
support,326.0,68.0,32.0,0.9131455399061033,426.0,426.0
