,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9096209912536443,0.6949152542372882,0.9583333333333334,0.8826291079812206,0.8542898596080887,0.8790078570504467
recall,0.9570552147239264,0.6029411764705882,0.71875,0.8826291079812206,0.7595821303981715,0.8826291079812206
f1-score,0.9327354260089686,0.6456692913385826,0.8214285714285714,0.8826291079812206,0.7999444295920409,0.87855158444991
support,326.0,68.0,32.0,0.8826291079812206,426.0,426.0
